"number","map_index","status","reason","category","kor_name","english_name","region","latitude","longitude"
"1","5","추가 검토 필요","세트 항목: 여러 방어구 중 대표 이미지 선택 필요","armor","무희 세트","Dancer's Set","dlc","-175.59375","109.85558068978835"
"2","7","추가 검토 필요","세트 항목: 여러 방어구 중 대표 이미지 선택 필요","armor","죽음 기사 세트 - 어둠빛 지하 묘지","Death Knight Set - Darklight Catacombs","dlc","-140.5703125","139.60533166354415"
"3","14","추가 검토 필요","세트 항목: 여러 방어구 중 대표 이미지 선택 필요","armor","프레이야 세트 - 에니르 일림","Freyja's Set - Enir-Ilim","dlc","-140.77226567268372","96.14474063474096"
"4","23","추가 검토 필요","세트 항목: 여러 방어구 중 대표 이미지 선택 필요","armor","대사제 세트","High Priest Set","dlc","-131.8359375","137.54269886104004"
"5","25","추가 검토 필요","세트 항목: 여러 방어구 중 대표 이미지 선택 필요","armor","뿔인간 세트","Hornsent Set","dlc","-125.53789067268372","97.51189991469694"
"6","26","추가 검토 필요","세트 항목: 여러 방어구 중 대표 이미지 선택 필요","armor","에이곤 세트","Igon's Set","dlc","-163.78125","146.12876224911588"
"7","28","추가 검토 필요","세트 항목: 여러 방어구 중 대표 이미지 선택 필요","armor","철 못 세트","Iron Rivet Set","dlc","-132.19010412693024","113.29296875"
"8","36","추가 검토 필요","세트 항목: 여러 방어구 중 대표 이미지 선택 필요","armor","밤 세트 - 보니의 감옥","Night Set - Bonny Gaol","dlc","-143.89322912693024","132.17578125"
"9","37","추가 검토 필요","세트 항목: 여러 방어구 중 대표 이미지 선택 필요","armor","서약기사 세트","Oathseeker Knight Set","dlc","-162.7109375","110.95727829121734"
"10","39","추가 검토 필요","세트 항목: 여러 방어구 중 대표 이미지 선택 필요","armor","나찰 세트","Rakshasa Set","dlc","-136.05729150772095","140.55078125"
"11","41","추가 검토 필요","세트 항목: 여러 방어구 중 대표 이미지 선택 필요","armor","고립 감옥 세트","Solitude Set","dlc","-154.6640625","107.09758616619452"
"12","43","추가 검토 필요","세트 항목: 여러 방어구 중 대표 이미지 선택 필요","armor","티에리에 세트 - 에니르 일림","Thiollier's Set - Enir-Ilim","dlc","-136.953125","95.58945391039116"
"13","44","추가 검토 필요","세트 항목: 여러 방어구 중 대표 이미지 선택 필요","armor","녹청 세트 - 에니르 일림","Verdigris Set - Enir-Ilim","dlc","-141.30351567268372","96.2540313720743"
"14","47","형식 정리로 매칭 가능","형식 정리로 매칭 가능(수량/위치/접두사/기호/공백)","ash_of_war","전회: 독꽃은 두 번 찌른다","Ash of War The Poison Flower Blooms Twice","dlc","-121.91666662693024","105.04296875"
"15","48","형식 정리로 매칭 가능","형식 정리로 매칭 가능(수량/위치/접두사/기호/공백)","ash_of_war","전회: 도가니의 모습/날개","Ash of War: Aspects of the Crucible: Wings","dlc","-145.8046875","129.4724948878176"
"16","49","형식 정리로 매칭 가능","형식 정리로 매칭 가능(수량/위치/접두사/기호/공백)","ash_of_war","전회: 순뢰 - 안개 계곡 지하 묘지","Ash of War: Blinkbolt - Fog Rift Catacombs","dlc","-125.71875","109.90221108853326"
"17","50","형식 정리로 매칭 가능","형식 정리로 매칭 가능(수량/위치/접두사/기호/공백)","ash_of_war","전회: 로얄 카리아","Ash of War: Carian Sovereignty","dlc","-132.51822912693024","135.69921875"
"18","51","형식 정리로 매칭 가능","형식 정리로 매칭 가능(수량/위치/접두사/기호/공백)","ash_of_war","전회: 낙엽 선풍각","Ash of War: Dryleaf Whirlwind","dlc","-120.6640625","109.6590752661762"
"19","52","형식 정리로 매칭 가능","형식 정리로 매칭 가능(수량/위치/접두사/기호/공백)","ash_of_war","전회: 불의 관통","Ash of War: Flame Skewer","dlc","-126.8359375","116.27750225621459"
"20","53","형식 정리로 매칭 가능","형식 정리로 매칭 가능(수량/위치/접두사/기호/공백)","ash_of_war","전회: 불의 창","Ash of War: Flame Spear","dlc","-115.75","127.51133747829465"
"21","54","형식 정리로 매칭 가능","형식 정리로 매칭 가능(수량/위치/접두사/기호/공백)","ash_of_war","전회: 영혼 불꽃 부르기","Ash of War: Ghostflame Call","dlc","-165.982268340086","117.76182332591868"
"22","55","형식 정리로 매칭 가능","형식 정리로 매칭 가능(수량/위치/접두사/기호/공백)","ash_of_war","전회: 발경","Ash of War: Palm Blast","dlc","-134.6640625","127.94143060331274"
"23","56","형식 정리로 매칭 가능","형식 정리로 매칭 가능(수량/위치/접두사/기호/공백)","ash_of_war","전회: 관통 투척 - 옛 유성의 무너진 단조장","Ash of War: Piercing Throw - Ruined Forge of Starfall Past","dlc","-140.45572912693024","125.29296875"
"24","57","형식 정리로 매칭 가능","형식 정리로 매칭 가능(수량/위치/접두사/기호/공백)","ash_of_war","전회: 짐승의 급습","Ash of War: Raging Beast","dlc","-133.8046875","142.89478845516257"
"25","58","형식 정리로 매칭 가능","형식 정리로 매칭 가능(수량/위치/접두사/기호/공백)","ash_of_war","전회: 둘러싼 불꽃의 향기","Ash of War: Rolling Sparks","dlc","-124.9921875","125.3240031244288"
"26","59","형식 정리로 매칭 가능","형식 정리로 매칭 가능(수량/위치/접두사/기호/공백)","ash_of_war","전회: 용맹한 사자 베기","Ash of War: Savage Lion's Claw","dlc","-144.1328125","107.33208337463427"
"27","60","형식 정리로 매칭 가능","형식 정리로 매칭 가능(수량/위치/접두사/기호/공백)","ash_of_war","전회: 산탄 투척 - 테일루의 무너진 단조장","Ash of War: Scattershot Throw - Taylew's Ruined Forge","dlc","-117.82291662693024","122.19140625"
"28","61","형식 정리로 매칭 가능","형식 정리로 매칭 가능(수량/위치/접두사/기호/공백)","ash_of_war","전회: 비통한 외침 - 벨라트 탑의 도시","Ash of War: Shriek of Sorrow - Belurat Tower Settlement","dlc","-140.5859375","102.57432000851084"
"29","62","형식 정리로 매칭 가능","형식 정리로 매칭 가능(수량/위치/접두사/기호/공백)","ash_of_war","전회: 속참","Ash of War: Swift Slash","dlc","-119.8984375","127.1140575652498"
"30","63","형식 정리로 매칭 가능","형식 정리로 매칭 가능(수량/위치/접두사/기호/공백)","ash_of_war","전회: 늘어선 불꽃의 향기","Ash of War: Wall of Sparks","dlc","-116.6328125","126.96541779953391"
"31","64","형식 정리로 매칭 가능","형식 정리로 매칭 가능(수량/위치/접두사/기호/공백)","ash_of_war","전회: 편익의 자세","Ash of War: Wing Stance","dlc","-138.8828125","122.62103799373136"
"32","70","추가 검토 필요","묶음 수량 제거 후에도 동일 데이터 없음","consumable","화살 x10","Arrow x10","dlc","-160.2109375","119.49692626462256"
"33","71","추가 검토 필요","묶음 수량 제거 후에도 동일 데이터 없음","consumable","화살 x10","Arrow x10","dlc","-137.1484375","118.03539472331384"
"34","72","추가 검토 필요","묶음 수량 제거 후에도 동일 데이터 없음","consumable","화살 x10","Arrow x10","dlc","-130.078125","107.73079147436484"
"35","73","추가 검토 필요","묶음 수량 제거 후에도 동일 데이터 없음","consumable","화살 x10 - 벨라트 탑의 도시","Arrow x10 - Belurat Tower Settlement","dlc","-141.078125","101.9337708455812"
"36","74","추가 검토 필요","묶음 수량 제거 후에도 동일 데이터 없음","consumable","발리스타 볼트 x5","Ballista Bolt x5","dlc","-142.4375","113.30083871527303"
"37","75","형식 정리로 매칭 가능","형식 정리로 매칭 가능(수량/위치/접두사/기호/공백)","consumable","짐승 뿔 x2","Beast Horn x2","dlc","-122.08476567268372","109.13690150455857"
"38","76","형식 정리로 매칭 가능","형식 정리로 매칭 가능(수량/위치/접두사/기호/공백)","consumable","짐승 뿔 x2","Beast Horn x2","dlc","-124.52226567268372","101.8478310552504"
"39","82","추가 검토 필요","묶음 수량 제거 후에도 동일 데이터 없음","consumable","볼트 x10","Bolt x10","dlc","-136.0078125","117.49627367597331"
"40","83","추가 검토 필요","묶음 수량 제거 후에도 동일 데이터 없음","consumable","볼트 x10 - 보니의 감옥","Bolt x10 - Bonny Gaol","dlc","-142.328125","131.98866823364102"
"41","84","추가 검토 필요","묶음 수량 제거 후에도 동일 데이터 없음","consumable","볼트 x5","Bolt x5","dlc","-118.88541662693024","116.48046875"
"42","85","추가 검토 필요","묶음 수량 제거 후에도 동일 데이터 없음","consumable","뼈 투척 나이프 x8","Bone Dart x8","dlc","-119.3125","127.01935703596234"
"43","106","추가 검토 필요","묶음 수량 제거 후에도 동일 데이터 없음","consumable","이성의 환약 x2","Clarifying Boluses x2","dlc","-155.296875","149.4103621850305"
