"map_index","status","method","category","kor_name","english_name","region","is_dlc","e_titles","image_count","image_urls","latitude","longitude"
"5","unmatched","","armor","무희 세트","Dancer's Set","dlc","True","","0","","-175.59375","109.85558068978835"
"7","unmatched","","armor","죽음 기사 세트 - 어둠빛 지하 묘지","Death Knight Set - Darklight Catacombs","dlc","True","","0","","-140.5703125","139.60533166354415"
"14","unmatched","","armor","프레이야 세트 - 에니르 일림","Freyja's Set - Enir-Ilim","dlc","True","","0","","-140.77226567268372","96.14474063474096"
"23","unmatched","","armor","대사제 세트","High Priest Set","dlc","True","","0","","-131.8359375","137.54269886104004"
"25","unmatched","","armor","뿔인간 세트","Hornsent Set","dlc","True","","0","","-125.53789067268372","97.51189991469694"
"26","unmatched","","armor","에이곤 세트","Igon's Set","dlc","True","","0","","-163.78125","146.12876224911588"
"28","unmatched","","armor","철 못 세트","Iron Rivet Set","dlc","True","","0","","-132.19010412693024","113.29296875"
"36","unmatched","","armor","밤 세트 - 보니의 감옥","Night Set - Bonny Gaol","dlc","True","","0","","-143.89322912693024","132.17578125"
"37","unmatched","","armor","서약기사 세트","Oathseeker Knight Set","dlc","True","","0","","-162.7109375","110.95727829121734"
"39","unmatched","","armor","나찰 세트","Rakshasa Set","dlc","True","","0","","-136.05729150772095","140.55078125"
"41","unmatched","","armor","고립 감옥 세트","Solitude Set","dlc","True","","0","","-154.6640625","107.09758616619452"
"43","unmatched","","armor","티에리에 세트 - 에니르 일림","Thiollier's Set - Enir-Ilim","dlc","True","","0","","-136.953125","95.58945391039116"
"44","unmatched","","armor","녹청 세트 - 에니르 일림","Verdigris Set - Enir-Ilim","dlc","True","","0","","-141.30351567268372","96.2540313720743"
"65","unmatched","","ash_of_war","상실의 전회","Lost Ashes of War","dlc","True","","0","","-142.28125","113.47256631364333"
"66","unmatched","","ash_of_war","상실의 전회","Lost Ashes of War","dlc","True","","0","","-172.234375","113.14479486392906"
"67","unmatched","","ash_of_war","상실의 전회","Lost Ashes of War - Belurat Tower Settlement","dlc","True","","0","","-139.359375","103.21481233435387"
"68","unmatched","","ash_of_war","상실의 전회","Lost Ashes of War - Bonny Gaol","dlc","True","","0","","-145.15104162693024","132.35546875"
"70","unmatched","","consumable","화살 x10","Arrow x10","dlc","True","","0","","-160.2109375","119.49692626462256"
"71","unmatched","","consumable","화살 x10","Arrow x10","dlc","True","","0","","-137.1484375","118.03539472331384"
"72","unmatched","","consumable","화살 x10","Arrow x10","dlc","True","","0","","-130.078125","107.73079147436484"
"73","unmatched","","consumable","화살 x10 - 벨라트 탑의 도시","Arrow x10 - Belurat Tower Settlement","dlc","True","","0","","-141.078125","101.9337708455812"
"74","unmatched","","consumable","발리스타 볼트 x5","Ballista Bolt x5","dlc","True","","0","","-142.4375","113.30083871527303"
"82","unmatched","","consumable","볼트 x10","Bolt x10","dlc","True","","0","","-136.0078125","117.49627367597331"
"83","unmatched","","consumable","볼트 x10 - 보니의 감옥","Bolt x10 - Bonny Gaol","dlc","True","","0","","-142.328125","131.98866823364102"
"84","unmatched","","consumable","볼트 x5","Bolt x5","dlc","True","","0","","-118.88541662693024","116.48046875"
"127","unmatched","","consumable","불화살 x10","Fire Arrow x10","dlc","True","","0","","-133.4609375","115.41040900315299"
"128","unmatched","","consumable","불화살 x10 - 에니르 일림","Fire Arrow x10 - Enir-Ilim","dlc","True","","0","","-135.6953125","95.94136651564764"
"155","unmatched","","consumable","황금 볼트 x10 - 에니르 일림","Golden Bolt x10 - Enir-Ilim","dlc","True","","0","","-135.7109375","95.44129815547154"
"165","unmatched","","consumable","대형 화살 x10","Great Arrow x10","dlc","True","","0","","-157.6171875","107.48836550105099"
"183","unmatched","","consumable","군주군의 볼트 - 에니르 일림","Lordsworn's Bolt - Enir-Ilim","dlc","True","","0","","-138.13164067268372","96.4806753524831"
"198","unmatched","","consumable","라우프 벌레","Rauh Burrow","dlc","True","","0","","-123.671875","118.27753652782854"
"215","unmatched","","consumable","신혈의 살점 x5","Sacred Flesh x5","dlc","True","","0","","-119.3125","115.92572127467557"
"218","unmatched","","consumable","뱀 화살 x8 - 벨라트 탑의 도시","Serpent Arrow x8 - Belurat Tower Settlement","dlc","True","","0","","-140.8671875","96.94933816668262"
"273","unmatched","","consumable","트리나의 화살 x10 - 석관의 대구멍","St. Trina's Arrow x10 - Stone Coffin Fissure","dlc","True","","0","","-190.0703125","119.86351922886303"
"295","unmatched","","key_item","""침입"" 그림","""Incursion"" Painting","dlc","True","","0","","-161.5078125","111.09039209582343"
"296","unmatched","","key_item","""성스러운 탑"" 그림","""The Sacred Tower"" Painting","dlc","True","","0","","-151.9453125","118.30104913644007"
"299","unmatched","","key_item","옛 유적의 십자 메시지","Ancient Ruins Cross Message","dlc","True","","0","","-121.51588547229767","108.80886712667177"
"307","unmatched","","key_item","성의 십자 메시지","Castle Cross Message","dlc","True","","0","","-136.53125","118.35585287767319"
"308","unmatched","","key_item","용의 경계 그림","Domain of Dragons Painting","dlc","True","","0","","-120.28125","128.55860945782308"
"309","unmatched","","key_item","용의 경계 그림 보상","Domain of Dragons Painting Solution","dlc","True","","0","","-163.78125","154.44509881931862"
"328","unmatched","","key_item","소각로 관리자의 수기","Furnace Keeper's Note","dlc","True","","0","","-122.5546875","125.88778830995247"
"336","unmatched","","key_item","기름 장사의 방울","Greasemonger's Bell Bearing","dlc","True","","0","","-127.3515625","141.98900952179673"
"345","unmatched","","key_item","큰 항아리 도공의 제작서 [4]","Greater Potentate's Cookbook [4]","dlc","True","","0","","-130.59375","140.63770834285322"
"360","unmatched","","key_item","약초 장사의 방울","Herbalist's Bell Bearing","dlc","True","","0","","-152.703125","119.35536736314202"
"363","unmatched","","key_item","에이곤의 방울","Igon's Bell Bearing","dlc","True","","0","","-163.421875","145.87118770135532"
"368","unmatched","","key_item","침입 그림 보상","Incursion Painting Solution","dlc","True","","0","","-141.42812502384186","105.03124684285181"
"380","unmatched","","key_item","당신과 함께 - 에니르 일림","Let Us Go Together - Enir-Ilim","dlc","True","","0","","-137.2734375","95.16750179925974"
"381","unmatched","","key_item","프레이야에게 보내는 편지","Letter for Freyja","dlc","True","","0","","-115.71875","129.73077295278364"
"386","unmatched","","key_item","겨루기 소망","May the Best Win","dlc","True","","0","","-134.34375","121.92599038941374"
"387","unmatched","","key_item","레다의 메시지","Message from Leda","dlc","True","","0","","-135.1484375","122.51957589774001"
"388","unmatched","","key_item","레다의 메시지","Message from Leda","dlc","True","","0","","-122.12526047229767","108.50419512782273"
"391","unmatched","","key_item","곰팡이 장사의 방울","Moldmonger's Bell Bearing","dlc","True","","0","","-137.2265625","136.3324539332389"
"392","unmatched","","key_item","승려의 편지","Monk's Missive","dlc","True","","0","","-134.53385412693024","121.81640625"
"393","unmatched","","key_item","무어의 방울 - 에니르 일림","Moore's Bell Bearing - Enir-Ilim","dlc","True","","0","","-141.04570317268372","96.24629796769065"
"394","unmatched","","key_item","버섯 장사의 방울 [1]","Mushroom-Seller's Bell Bearing (1)","dlc","True","","0","","-135.578125","108.13592193497533"
"395","unmatched","","key_item","버섯 장사의 방울 [2]","Mushroom-Seller's Bell Bearing [2]","dlc","True","","0","","-156.44791662693024","119.44921875"
"396","unmatched","","key_item","어머니여","O Mother (Gesture)","dlc","True","","0","","-134.21875","133.5366799088375"
"400","unmatched","","key_item","비밀 의식의 두루마리","Secret Rite Scroll","dlc","True","","0","","-117.4140625","129.01207717396272"
"401","unmatched","","key_item","마술기계 장인의 방울","Spellmachinist's Bell Bearing","dlc","True","","0","","-122.453125","142.51985254638092"
"405","unmatched","","key_item","창고의 십자 메시지","Storehouse Cross Message","dlc","True","","0","","-116.6484375","128.25376345160848"
"407","unmatched","","key_item","끈 장사의 방울","String-Seller's Bell Bearing","dlc","True","","0","","-158.1640625","102.88793824826357"
"409","unmatched","","key_item","성스러운 탑 그림 보상","The Sacred Tower Painting Solution","dlc","True","","0","","-134.2109375","111.56288478339484"
"410","unmatched","","key_item","두 손가락","The Two Fingers (Gesture)","dlc","True","","0","","-111.828125","150.09005075315824"
"412","unmatched","","key_item","찢어진 일지","Torn Diary Page","dlc","True","","0","","-158.828125","128.23081140538267"
"413","unmatched","","key_item","그림자 탑 메시지 - 벨라트 탑의 도시","Tower of Shadow Message - Belurat Tower Settlement","dlc","True","","0","","-136.484375","100.3556543906032"
"415","unmatched","","key_item","유미르의 방울","Ymir's Bell Bearing","dlc","True","","0","","-132.15104162693024","137.33984375"
"416","unmatched","","map_fragment","십자 지도","Cross Map","dlc","True","","0","","-148.859375","110.67525289595137"
"417","unmatched","","map_fragment","지도 조각: 나락","Map: Abyss","dlc","True","","0","","-155.9296875","149.39525522698997"
"418","unmatched","","map_fragment","지도 조각: 묘지 평원","Map: Gravesite Plain","dlc","True","","0","","-157.8671875","115.09793470686347"
"419","unmatched","","map_fragment","지도 조각: 라우프의 옛 유적","Map: Rauh Ruins","dlc","True","","0","","-129.28782384525863","110.33169454707779"
"420","unmatched","","map_fragment","지도 조각: 그림자 알터","Map: Scadu Altus","dlc","True","","0","","-129.43235291663035","122.67322506200382"
"421","unmatched","","map_fragment","지도 조각: 남쪽 해안","Map: Southern Shore","dlc","True","","0","","-178.546875","121.1291912264841"
"422","unmatched","","map_fragment","새로운 십자 지도","New Cross Map","dlc","True","","0","","-134.72135412693024","122.83203125"
"423","unmatched","","map_fragment","폐허 지도","Ruins Map","dlc","True","","0","","-132.3828125","138.1997628118717"
"424","unmatched","","map_fragment","폐허 지도","Ruins Map (2nd)","dlc","True","","0","","-132.57291662693024","138.44921875"
"425","unmatched","","map_fragment","폐허 지도","Ruins Map (3rd)","dlc","True","","0","","-132.8984375","138.35556894038308"
"532","unmatched","","material","거인 불의 반딧불 x3","Giantslab Firefly x3","dlc","True","","0","","-139.29947912693024","121.95703125"
"573","unmatched","","material","라우프 벌레","Rauh Burrow","dlc","True","","0","","-123.21875","99.26176446586777"
"574","unmatched","","material","라우프 벌레","Rauh Burrow","dlc","True","","0","","-130.53125","99.83161856264852"
"575","unmatched","","material","라우프 벌레 x4","Rauh Burrow x4","dlc","True","","0","","-131.9296875","108.63684243919363"
"576","unmatched","","material","라우프 벌레 x5","Rauh Burrow x5","dlc","True","","0","","-117.609375","106.97889796769329"
"750","unmatched","","upgrade_material","듀얼링 실드","Dueling Shield","dlc","True","","0","","-117.2890625","129.2540176327454"
"993","unmatched","","weapon","연성 석궁","Repeating Crossbow","dlc","True","","0","","-140.95572912693024","128.38671875"
"1013","unmatched","","armor","온 지혜 세트","All-Knowing Set","extra","False","","0","","-106.625","116.425507"
"1014","unmatched","","armor","금가면 세트","Goldmask's Set","extra","False","","0","","-108.46","114.17"
"1018","unmatched","","key_item","순교자의 우상: 엘데의 짐승","Effigy of the Martyr: Elden Beast","extra","False","","0","","-109.923","123.456"
"1019","unmatched","","key_item","순교자의 우상: 엘데의 왕좌","Effigy of the Martyr: Elden Throne","extra","False","","0","","-106.344","119.884"
"1020","unmatched","","key_item","순교자의 우상: 황금 나무 대성당","Effigy of the Martyr: Erdtree Sanctuary","extra","False","","0","","-107.142","115.397"
"1035","unmatched","","armor","알베리히 세트","Alberich's Set","surface","False","","0","","-104.679","112.965"
"1037","unmatched","","armor","전투 마술사 세트","Battlemage Set","surface","False","","0","","-77.4375","89.929814"
"1038","unmatched","","armor","짐승 집회 세트","Beast Champion Set","surface","False","","0","","-120.984375","218.353221"
"1040","unmatched","","armor","검은 칼날 세트","Black Knife Set","surface","False","","0","","-62.54","140.14"
"1042","unmatched","","armor","사냥개기사 세트","Bloodhound Knight Set","surface","False","","0","","-87.414062","72.433874"
"1043","unmatched","","armor","큰 산양 세트","Bull-Goat Set","surface","False","","0","","-104.078125","69.665502"
"1044","unmatched","","armor","카리아 기사 세트","Carian Knight Set","surface","False","","0","","-136.484375","56.395704"
"1049","unmatched","","armor","시민의 옷","Commoner's Simple Garb","surface","False","","0","","-182.00625","89.026162"
"1050","unmatched","","armor","왕의 반려 세트","Consort's Set","surface","False","","0","","-87.34844","66.57444"
"1052","unmatched","","armor","도가니 도끼 세트","Crucible Axe Set","surface","False","","0","","-96.55","120.926"
"1054","unmatched","","armor","용기사 세트","Drake Knight Set","surface","False","","0","","-119.203125","219.549662"
"1056","unmatched","","armor","기행 마술사 세트(투구 제외)","Errant Sorcerer Set (No Helm)","surface","False","","0","","-91.914062","69.698042"
"1057","unmatched","","armor","눈의 서코트","Eye Surcoat","surface","False","","0","","-87.86094","66.53088"
"1058","unmatched","","armor","손가락 무녀 세트","Finger Maiden Set","surface","False","","0","","-115.01","71.69"
"1059","unmatched","","armor","지문 세트","Fingerprint Set","surface","False","","0","","-72.3","168.62"
"1060","unmatched","","armor","겔미어 기사 세트","Gelmir Knight Set","surface","False","","0","","-87","72"
"1062","unmatched","","armor","신의 살갗의 사도 세트","Godskin Apostle Set","surface","False","","0","","-163.178125","145.807398"
"1063","unmatched","","armor","신의 살갗의 귀인 세트","Godskin Noble Set","surface","False","","0","","-142","87"
"1067","unmatched","","armor","호슬로 세트","Hoslow's Set","surface","False","","0","","-67.85625","152.680643"
"1080","unmatched","","armor","버섯 세트(왕관 제외)","Mushroom Set (No Crown)","surface","False","","0","","-85.220312","68.619916"
"1081","unmatched","","armor","밤 기병 세트","Night's Cavalry Set","surface","False","","0","","-75.7","139.1"
"1082","unmatched","","armor","귀인 세트","Noble's Set","surface","False","","0","","-75.078125","90.836225"
"1083","unmatched","","armor","방랑 민족 상인 세트","Nomadic Merchant's Set","surface","False","","0","","-100.051563","122.987291"
"1088","unmatched","","armor","흉조잡이 세트(투구 제외)","Omenkiller Set (No Helm)","surface","False","","0","","-97","64"
"1090","unmatched","","armor","조향사 여행 세트","Perfumer Traveler's Set","surface","False","","0","","-178.68","138.98"
"1091","unmatched","","armor","마술 교수 세트","Preceptor's Set","surface","False","","0","","-109.75","52.372118"
"1094","unmatched","","armor","종군 늑대 세트","Raging Wolf Set","surface","False","","0","","-104.35","113.45679"
"1101","unmatched","","armor","현자 세트","Sage Set","surface","False","","0","","-169.101562","81.50281"
"1102","unmatched","","armor","피의 귀족 세트","Sanguine Set","surface","False","","0","","-71.75","132.6"
"1103","unmatched","","armor","비늘 세트","Scaled Set","surface","False","","0","","-174.32188","98.39523"
"1105","unmatched","","armor","눈 마녀 세트","Snow Witch Set","surface","False","","0","","-101.945312","53.95069"
"1106","unmatched","","armor","여행 세트","Traveler's Set","surface","False","","0","","-36.798438","149.268446"
"1107","unmatched","","armor","여행 무녀 세트","Traveling Maiden Set","surface","False","","0","","-67.348438","150.937088"
"1110","unmatched","","armor","백면 갈대 세트","White Reed Set","surface","False","","0","","-66.673438","169.049536"
"1111","unmatched","","armor","자미엘 세트","Zamor Set","surface","False","","0","","-86.201563","148.049536"
"1144","unmatched","","ash_of_war","전회: 환영의 창","Ash of War: Phantom Slash","surface","False","","0","","-100.1","135.05"
"1145","unmatched","","ash_of_war","전회: 독나방은 두 번 춤춘다","Ash of War: Poison Moth Flight","surface","False","","0","","-185.3","142.416829"
"1148","unmatched","","ash_of_war","전회: 애로우 레인","Ash of War: Rain of Arrows","surface","False","","0","","-167.703","159.029"
"1174","unmatched","","ash_of_war","상실의 전회","Lost Ashes of War - Capital Outskirts","surface","False","","0","","-97.715625","107.396296"
"1175","unmatched","","ash_of_war","상실의 전회","Lost Ashes of War - Leyndell, Royal Capital","surface","False","","0","","-103.65625","115.621626"
"1176","unmatched","","ash_of_war","상실의 전회","Lost Ashes of War - Miquella's Haligtree","surface","False","","0","","-44.86719","148.12295"
"1177","unmatched","","ash_of_war","상실의 전회","Lost Ashes of War - Ruin-Strewn Precipice","surface","False","","0","","-104.734375","71.27019"
"1178","unmatched","","ash_of_war","상실의 전회","Lost Ashes of War - Subterranean Shunning-Grounds","surface","False","","0","","-101","115"
"1224","unmatched","","consumable","불화살 - 1x Stormhill Warmaster Shack","Fire Arrow - 1x Stormhill Warmaster Shack ","surface","False","","0","","-179.63","98.75"
